[20:35:41] [main/INFO]: Loading Minecraft 1.18.2 with Fabric Loader 0.16.3
[20:35:41] [main/INFO]: Loading 4 mods:
	- fabricloader 0.16.3
	   \-- mixinextras 0.4.1
	- java 17
	- minecraft 1.18.2
[20:35:41] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=file:/workspaces/astral/servidor_minecraft/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar Service=Knot/Fabric Env=SERVER
[20:35:45] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[20:35:47] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[20:35:47] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[20:35:47] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[20:35:47] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[20:35:47] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[20:35:48] [Worker-Main-4/INFO]: Loaded 7 recipes
[20:35:49] [Worker-Main-4/INFO]: Loaded 1141 advancements
[20:35:51] [Server thread/INFO]: Starting minecraft server version 1.18.2
[20:35:51] [Server thread/INFO]: Loading properties
[20:35:51] [Server thread/INFO]: Default game type: SURVIVAL
[20:35:51] [Server thread/INFO]: Generating keypair
[20:35:52] [Server thread/INFO]: Starting Minecraft server on *:25565
[20:35:52] [Server thread/INFO]: Using epoll channel type
[20:35:52] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[20:35:52] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[20:35:52] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[20:35:52] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[20:35:52] [Server thread/INFO]: Preparing level "world"
[20:36:06] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[20:36:08] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[20:36:08] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[20:36:08] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[20:36:08] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[20:36:08] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[20:36:08] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[20:36:09] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[20:36:09] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[20:36:10] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[20:36:10] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[20:36:11] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[20:36:11] [Worker-Main-5/INFO]: Preparing spawn area: 1%
[20:36:12] [Worker-Main-5/INFO]: Preparing spawn area: 1%
[20:36:13] [Worker-Main-4/INFO]: Preparing spawn area: 1%
[20:36:13] [Worker-Main-5/INFO]: Preparing spawn area: 1%
[20:36:14] [Worker-Main-5/INFO]: Preparing spawn area: 2%
[20:36:14] [Worker-Main-6/INFO]: Preparing spawn area: 2%
[20:36:14] [Worker-Main-4/INFO]: Preparing spawn area: 3%
[20:36:15] [Worker-Main-5/INFO]: Preparing spawn area: 4%
[20:36:15] [Worker-Main-4/INFO]: Preparing spawn area: 4%
[20:36:16] [Worker-Main-6/INFO]: Preparing spawn area: 4%
[20:36:16] [Worker-Main-4/INFO]: Preparing spawn area: 5%
[20:36:17] [Worker-Main-5/INFO]: Preparing spawn area: 6%
[20:36:17] [Worker-Main-5/INFO]: Preparing spawn area: 7%
[20:36:18] [Worker-Main-4/INFO]: Preparing spawn area: 8%
[20:36:18] [Worker-Main-6/INFO]: Preparing spawn area: 9%
[20:36:19] [Worker-Main-6/INFO]: Preparing spawn area: 9%
[20:36:19] [Worker-Main-5/INFO]: Preparing spawn area: 10%
[20:36:20] [Worker-Main-4/INFO]: Preparing spawn area: 11%
[20:36:20] [Worker-Main-4/INFO]: Preparing spawn area: 13%
[20:36:21] [Worker-Main-4/INFO]: Preparing spawn area: 13%
[20:36:21] [Worker-Main-5/INFO]: Preparing spawn area: 15%
